query_number,results,status,time,mem[kB]
533,440,OK,32,16291576
534,419,OK,18,16291576
535,100000,OK,133,16293624
536,58191,OK,90,16293624
537,100000,OK,180,16295672
538,100000,OK,147,16295672
539,18635,OK,50,16295672
540,100000,OK,205,16295672
541,100000,OK,121,16295672
542,6630,OK,17,16295672
543,353,OK,23,16295672
544,1980,OK,8,16295672
545,100000,OK,190,16297720
546,35915,OK,125,16297720
547,100000,OK,158,16299768
548,16711,OK,29,16299768
549,47444,OK,75,16299768
550,100000,OK,100,16299768
551,100000,OK,110,16299768
552,100000,OK,148,16299768
553,100000,OK,130,16299768
554,100000,OK,118,16299768
555,40268,OK,46,16299768
556,100000,OK,129,16299768
557,100000,OK,158,16299768
558,100000,OK,184,16299768
559,126,OK,7,16299768
560,27850,OK,51,16299768
561,100000,OK,103,16299768
562,100000,OK,255,16301816
563,70830,OK,139,16301816
564,7318,OK,58,16301816
565,100000,OK,166,16301816
566,82820,OK,190,16301816
567,223,OK,8,16301816
568,62734,OK,134,16301816
569,100000,OK,96,16301816
570,100000,OK,177,16301816
571,490,OK,8,16301816
572,10331,OK,30,16301816
573,100000,OK,224,16301816
574,75043,OK,134,16301816
575,100000,OK,236,16303864
576,0,OK,7,16303864
577,4349,OK,20,16303864
578,15293,OK,71,16303864
579,100000,OK,275,16303864
580,100000,OK,106,16303864
581,100000,OK,560,16358940
582,100000,OK,121,16358940
583,50518,OK,82,16358940
584,100000,OK,177,16358940
585,100000,OK,218,16363036
586,100000,OK,294,16363036
587,26160,OK,69,16363036
588,100000,OK,235,16363036
589,100000,OK,206,16365084
590,100000,OK,157,16365084
591,100000,OK,105,16365084
592,100000,OK,149,16365084
593,45892,OK,122,16365084
594,104,OK,7,16365084
595,13303,OK,67,16365084
596,15015,OK,54,16306212
597,100000,OK,255,16306212
598,90422,OK,306,16310568
599,1605,OK,9,16310568
600,0,OK,23,16310568
601,100000,OK,333,16310568
602,100000,OK,145,16310568
603,95401,OK,217,16310568
604,17215,OK,85,16310828
605,100000,OK,167,16312876
606,100000,OK,210,16312876
607,3206,OK,12,16312876
608,100000,OK,109,16312876
609,100000,OK,107,16312876
610,82052,OK,137,16312876
611,4531,OK,13,16312876
612,100000,OK,209,16314924
613,100000,OK,163,16314924
614,1650,OK,9,16314924
615,0,OK,18,16314924
616,7272,OK,17,16314924
617,100000,OK,197,16316972
618,18192,OK,36,16316972
619,50091,OK,81,16316972
620,4889,OK,14,16316972
621,100000,OK,156,16316972
622,100000,OK,416,16316972
623,100000,OK,1366,16329260
624,100000,OK,136,16330316
625,27850,OK,45,16330316
626,100000,OK,104,16330560
627,14027,OK,25,16330560
628,78,OK,6,16330560
629,29,OK,15,16330560
630,100000,OK,210,16330560
631,228,OK,392,16330560
632,16,OK,25,16330560
633,100000,OK,2081,16342848
634,61,OK,211,16342848
635,100000,OK,486,16344896
636,14771,OK,136,16344896
637,8,OK,66,16344896
638,4731,OK,239,16348992
639,140,OK,48,16348992
640,22336,OK,227,16348992
641,781,OK,15,16348992
642,17700,OK,212,16348992
643,22335,OK,237,16348992
644,17699,OK,203,16348992
645,8,TIMEOUT,60000,16351040
646,100000,OK,272,16351040
647,100000,OK,310,16353088
648,100000,OK,413,16357184
649,47609,OK,264,16361280
650,100000,OK,278,16363328
651,211,OK,84,16363328
652,100000,OK,2510,16514328
653,100000,OK,6511,16528928
654,100000,OK,2998,16594656
655,1854,TIMEOUT,60000,16660192
656,22326,OK,1030,16664288
657,17515,OK,243,16666336
658,22326,OK,264,16666336
659,17515,OK,215,16666336
660,100000,OK,230,16668384
