query_number,results,status,time,mem[kB]
380,100000,OK,326,13892856
381,311,OK,9,13892856
382,891,OK,8,13892856
383,57,OK,5,13892856
384,537,OK,8,13892856
385,1006,OK,9,13892856
386,390,OK,30,13892856
387,24859,OK,124,13892856
388,75470,OK,369,13892856
389,3848,OK,47,13892856
390,146,OK,7,13892856
391,3835,OK,18,13892856
392,100000,OK,628,13892856
393,127,OK,10,13892856
394,100000,OK,318,13892856
395,100000,OK,564,13892856
396,179,OK,10,13892856
397,5942,OK,24,13892856
398,3168,OK,15,13892856
399,28849,OK,124,13892856
400,8201,OK,40,13892856
401,439,OK,7,13892856
402,27,OK,5,13892856
403,11601,OK,48,13892856
404,2386,OK,15,13892856
405,1,OK,47954,13886964
406,100000,OK,446,13886964
407,783,OK,11,13886964
408,100000,OK,637,13886964
409,61698,OK,188,13886964
410,24629,OK,149,13886964
411,100000,OK,621,13886964
412,1973,OK,16,13886964
413,100000,OK,579,13886964
414,693,OK,11,13886964
415,28848,OK,168,13887756
416,100000,OK,602,13887756
417,2938,OK,19,13887756
418,644,OK,8,13887756
419,0,OK,47807,13881868
420,100000,OK,478,13881868
421,100000,OK,445,13881868
422,100000,OK,240,13881868
423,26817,OK,364,13883916
424,78689,OK,828,13920708
425,38715,OK,64,13920708
426,24598,OK,58,13920708
427,100000,OK,181,13920708
428,100000,OK,277,13924804
429,227,OK,35,13924804
430,6997,OK,23,13924804
431,0,OK,36,13924804
432,100000,OK,179,13926852
433,121,OK,38,13926852
434,10807,OK,47,13928900
435,40612,OK,74,13928900
436,13698,OK,33,13928900
437,14188,OK,62,13928900
438,15692,OK,37,13928900
439,100000,OK,175,13928900
440,40274,OK,91,13928900
441,9132,OK,25,13928900
442,33,OK,5,13928900
443,100000,OK,140,13931540
444,224,OK,8,13931540
445,100000,OK,200,13933588
446,0,OK,35,13933588
447,100000,OK,240,13933588
448,100000,OK,228,13937684
449,100000,OK,200,13940780
450,100000,OK,138,13940780
451,100000,OK,270,13940780
452,100000,OK,142,13940780
453,100000,OK,153,13940780
454,100000,OK,246,13940780
455,623,OK,9,13940780
456,6603,OK,40,13940780
457,54309,OK,76,13940780
458,100000,OK,423,13940780
459,100000,OK,144,13940780
460,58404,OK,158,13940780
461,100000,OK,171,13940780
462,100000,OK,219,13943308
463,100000,OK,489,13944300
464,100000,OK,407,13950564
465,250,OK,16,13950564
466,3172,OK,15,13950564
467,40641,OK,70,13950564
468,75658,OK,95,13950564
469,25297,OK,31,13950564
